id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
249,Aleksander Mikołaj Mrówczyński,PiS,1953-12-09,72,Chojnice,M,"Uniwersytet Gdański, Wydział Matematyczno-Fizyczny, Matematyka - magister (1977) Collegium Humanum - Szkoła Główna Menedżerska Warszawa, MBA (2019) - studia podyplomowe",wyższe,magister,1,parlamentarzysta,26,Słupsk,pomorskie,15125,poseł na Sejm RP VIII i IX kadencji,3,True,,,
250,Izabela Katarzyna Mrzygłocka,KO,1959-05-20,66,Wałbrzych,K,"Akademia Ekonomiczna we Wrocławiu, Wydział Zarządzania i Informatyki, Organizacja i Zarządzanie - magister (1982) Wyższa Szkoła Studiów Międzynarodowych w Łodzi, Administracja Publiczna (2006) - studia podyplomowe",wyższe,magister,1,ekonomista,2,Wałbrzych,dolnośląskie,14470,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,False,Zgon,Zmarła,Zgon
251,Joanna Mucha,Polska2050,1976-04-12,49,Płońsk,K,"Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie Przedsiębiorstwem - magister (2001) Uniwersytet Warszawski, Ekonomika Zdrowia (2006) - studia podyplomowe Katolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Ekonomia Zdrowia - doktor (2007)",wyższe,doktor,1,nauczyciel akademicki,6,Lublin,lubelskie,32563,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
252,Arkadiusz Mularczyk,PiS,1971-02-04,54,Racibórz,M,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa, Prawo - magister (1995)",wyższe,magister,0,adwokat,14,Nowy Sącz,małopolskie,62758,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
253,Krzysztof Mulawa,Konfederacja,1985-06-24,40,Siedlce,M,"Szkoła Główna Handlowa w Warszawie, Finanse i Rachunkowość - magister (2009)",wyższe,magister,0,ekspert ds. kontrolingu,18,Siedlce,mazowieckie,14043,brak,1,True,,,
254,Piotr Müller,PiS,1989-05-02,36,Słupsk,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2016)",wyższe,magister,0,"prawnik, urzędnik państwowy",26,Słupsk,pomorskie,72813,poseł na Sejm RP VIII i IX kadencji,3,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
255,Arkadiusz Myrcha,KO,1984-02-01,41,Toruń,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2009) Uniwersytet SWPS, Nauki Prawne - doktor (2023)",wyższe,doktor,0,radca prawny,5,Toruń,kujawsko-pomorskie,64452,poseł na Sejm RP VIII i IX kadencji,3,True,,,
256,Grzegorz Napieralski,KO,1974-03-18,51,Szczecin,M,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia i Nauki Społeczne - magister (2000)",wyższe,magister,0,politolog,41,Szczecin,zachodniopomorskie,7239,"poseł na Sejm RP IV, V, VI, VII i IX kadencji, senator IX kadencji",6,True,,,
257,Dorota Niedziela,KO,1964-08-20,61,Oświęcim,K,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Medycyny Weterynaryjnej, Weterynaria - lekarz weterynarii (1991) Uniwersytet Przyrodniczy we Wrocławiu, Chirurgia weterynaryjna (2007) - studia podyplomowe Uniwersytet Przyrodniczy we Wrocławiu, Radiologia Weterynaryjna (2013) - studia podyplomowe",wyższe,lekarz weterynarii,2,lekarz weterynarii,12,Kraków,małopolskie,28783,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
258,Jacek Niedźwiedzki,KO,1975-06-13,50,Suwałki,M,"Akademia Podlaska w Siedlcach, Wydział Ekonomiczny, Zarządzenie i Marketing - magister (2000) Akademia Wychowania Fizycznego w Gdańsku, Trener II klasy (2010) - studia podyplomowe Politechnika Białostocka, MBA Executive (2022) - studia podyplomowe",wyższe,magister,2,specjalista ds. zarządzania,24,Białystok,podlaskie,9063,brak,1,True,,,
259,Małgorzata Niemczyk,KO,1969-10-25,56,Łódź,K,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Cybernetyka ekonomiczna i informatyka w zakresie przetwarzania danych rach. - magister (1993) Akademia Humanistyczno-Ekonomiczna w Łodzi, Wychowanie fizyczne z elementami tańca i aerobiku (2018) - studia podyplomowe Akademia Humanistyczno-Ekonomiczna w Łodzi, Pedagogika (2022) - studia podyplomowe",wyższe,magister,2,"ekonomista, nauczyciel, trener",9,Łódź,łódzkie,20959,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
260,Jolanta Niezgodzka,KO,1991-02-26,34,Kłobuck,K,"Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Prawo - magister (2016) Uniwersytet Ekonomiczny, Zarządzanie w Sektorze Publicznym (2018) - studia podyplomowe",wyższe,magister,1,przedsiębiorca,3,Wrocław,dolnośląskie,7262,brak,1,True,,,
261,Sławomir Nitras,KO,1973-04-26,52,Połczyn-Zdrój,M,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia - magister (1998)",wyższe,magister,0,parlamentarzysta,41,Szczecin,zachodniopomorskie,90720,"poseł na Sejm RP V, VI, VIII i IX kadencji",5,True,,,
262,Barbara Nowacka,KO,1975-05-10,50,Warszawa,K,"Polsko-Japońska Akademia Technik Komputerowych, Wydział Informatyki, Informatyka - inżynier (2006) Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie - magister (2013) Francuski Instytut Zarządzania, MBA (2014) - studia podyplomowe",wyższe,magister,1,informatyk,26,Słupsk,pomorskie,139524,poseł na Sejm RP IX kadencji,2,True,,,
263,Maja Ewa Nowak,Polska2050,1987-07-07,38,Nowa Sól,K,"Wyższa Szkoła Towarzystwa Wiedzy Powszechnej TWP, Wydział Pedagogiczny, Aktywizacja i Rozwój Wspólnot Lokalnych - magister (2012) Wyższa Szkoła Bankowa we Wrocławiu, Doradztwo Zawodowe i Przedsiębiorczość (2018) - studia podyplomowe",wyższe,magister,1,pedagog,8,Zielona Góra,lubuskie,25109,brak,1,True,,,
264,Tomasz Piotr Nowak,KO,1956-12-22,69,Kwidzyn,M,"Uniwersytet Gdański, Wydział Humanistyczny, Filologia Polska - magister (1979) Wyższa Szkoła Zarządzania i Bankowości w Poznaniu, Public Relations (1999) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Menager samorządu terytorialnego (2014) - studia podyplomowe",wyższe,magister,2,przedsiębiorca prywatny,37,Konin,wielkopolskie,15495,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
265,Wanda Nowicka,Lewica,1956-11-21,69,Lublin,K,"Uniwersytet Warszawski, Wydział Polonistyki, Filologia Klasyczna - magister (1979) Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo Medyczne, Bioetyka i Socjologia Medycyny (2009) - studia podyplomowe",wyższe,magister,1,filolożka,29,Katowice,śląskie,16882,posłanka na Sejm RP VII i IX kadencji,3,True,,,
266,Urszula Nowogórska,PSL,1978-09-29,47,Limanowa,K,"Uniwersytet Pedagogiczny w Krakowie, Wydział Politologii, Politologia / Administracja Publiczna - magister (2013)",wyższe,magister,0,"pielęgniarka, pracownik administracji samorządowej",14,Nowy Sącz,małopolskie,24388,poseł na Sejm RP IX kadencji,2,True,,,
267,Mirosława Nykiel,KO,1953-09-23,72,Wańkowa,K,"Uniwersytet Śląski, Wydział Pedagogiczno-Artystyczny, Pedagogika - magister (1983) Ośrodek Kształcenia Nauczycieli w Katowicach, Filologia Polska (1987) - studia podyplomowe Wyższa Szkoła Europejska im. ks. J. Tischnera w Warszawie, Integracja Europejska (2004) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Kolegium Ekonomiczno-Społeczne (2013) - studia doktoranckie",wyższe,magister,2,"menedżer, przedsiębiorca prywatny",27,Bielsko-Biała,śląskie,49436,"poseł na Sejm RP VI, VII, VIII i IX kadencji, senator VI kadencji",5,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
268,Marcin Ociepa,PiS,1984-10-21,41,Opole,M,"Uniwersytet Opolski, Wydział Historyczno-Pedagogiczny, Politologia - magister (2008) Wyższa Szkoła Biznesu w Dąbrowie Górniczej, Master of Business Administration (2018) - studia podyplomowe IESE Business School Uniwersytetu Nawarry w Barcelonie i Krajowa Szkoła Administracji Publicznej, Master of Public Administration (2019) - studia podyplomowe",wyższe,magister,2,nauczyciel akademicki,21,Opole,opolskie,40418,poseł na Sejm RP IX kadencji,2,True,,,
269,Marzena Okła-Drewnowicz,KO,1972-05-20,53,Skarżysko-Kamienna,K,"Katolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Socjologia - magister (1996) Wyższa Szkoła Handlowa w Kielcach, Organizacja pomocy Społecznej (2002) - studia podyplomowe",wyższe,magister,1,urzędnik samorządowy,33,Kielce,świętokrzyskie,64990,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
270,Barbara Okuła,Polska2050,1973-12-04,52,Siemiatycze,K,"Wyższa Szkoła Finansów i Zarządzania w Białymstoku, Finanse i Bankowość, Finanse i Rachunkowość - magister (2002)",wyższe,magister,0,ekonomista,24,Białystok,podlaskie,3482,brak,1,True,,,
271,Barbara Oliwiecka,Polska2050,1977-01-07,49,Kalisz,K,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych, Planowanie Przestrzenne Gospodarką Lokalną - magister (2000) Wyższa Szkoła Bankowa we Wrocławiu, Trener Biznesu (2008) - studia podyplomowe",wyższe,magister,1,"menedżer, trener kadry menedżerskiej",36,Kalisz,wielkopolskie,12214,brak,1,True,,,
272,Dorota Olko,Lewica,1988-01-13,37,Siedlce,K,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii (w ramach Międzywydziałowych Indywidualnych Studiów Humanistycznych), Socjologia - magister (2011) Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych (w ramach Międzywydziałowych Indywidualnych Studiów Humanistycznych), Dziennikarstwo i Komunikacja Społeczna - magister (2012) Uniwersytet Warszawski, Filologia Polska - redakcja językowa tekstu (2012) - studia podyplomowe Uniwersytet Warszawski - Instytut Socjologii, Socjologia (2016) - studia doktoranckie Uniwersytet Warszawski - Instytut Socjologii, Socjologia - doktor (2023)",wyższe,doktor,1,socjolog,19,Warszawa,mazowieckie,44188,brak,1,True,,,
273,Paweł Olszewski,KO,1979-12-11,46,Bydgoszcz,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Zarządzanie i Marketing - magister (2003)",wyższe,magister,0,ekonomista,4,Bydgoszcz,kujawsko-pomorskie,35289,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
274,Mirosław Adam Orliński,PSL,1986-07-21,39,Warszawa,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2010) Uniwersytet Warszawski, Nauki Prawne (2017) - studia doktoranckie",wyższe,magister,0,prawnik,16,Płock,mazowieckie,9066,brak,1,True,,,
275,Łukasz Osmalak,Polska2050,1977-06-17,48,Mikołów,M,"Wyższa Szkoła Informatyki i Zarządzania w Bielsku-Białej, Wydział Informatyki, Zarządzanie Sieciami - inżynier (2000)",wyższe,inżynier,0,inżynier informatyk,30,Bielsko-Biała,śląskie,19616,brak,1,True,,,
276,Katarzyna Osos,KO,1980-11-17,45,Świebodzin,K,"Wyższa Szkoła Handlu i Prawa w Warszawie, Wydział Prawa, Prawo - magister (2004)",wyższe,magister,0,radca prawny,8,Zielona Góra,lubuskie,11832,poseł na Sejm RP VIII i IX kadencji,3,True,,,
277,Jacek Osuch,PiS,1958-08-28,67,Olkusz,M,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Mechaniczny, Budowa Maszyn - inżynier (1988)",wyższe,inżynier,0,inżynier mechanik,13,Kraków,małopolskie,10386,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
278,Jacek Ozdoba,PiS,1991-09-22,34,Warszawa,M,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2016)",wyższe,magister,0,prawnik,16,Płock,mazowieckie,19637,poseł na Sejm RP IX kadencji,2,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
279,Teresa Pamuła,PiS,1956-12-28,69,Lubaczów,K,"Akademia Rolnicza w Krakowie, Wydział Ogrodnictwa, Ogrodnictwo - magister inżynier (1980) Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie, Wspólna Polityka Rolna i Funduszy Wspólnoty (2004) - studia podyplomowe",wyższe,magister inżynier,1,inżynier ogrodnik,22,Krosno,podkarpackie,15273,poseł na Sejm RP IX kadencji,2,True,,,
280,Paweł Papke,KO,1977-02-13,48,Starogard Gdański,M,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Humanistyczny, Stosunki Międzynarodowe - licencjat (2007) Olsztyńska Szkoła Wyższa, Wydział Pedagogiczny, Pedagogika Promocji Zdrowia - magister (2012) Collegium Humanum - Szkoła Główna Menedżerska Warszawa, Executive Master of Business Administration (MBA) (2019) - studia podyplomowe",wyższe,magister,1,pedagog,35,Olsztyn,warmińsko-mazurskie,27023,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
281,Urszula Pasławska,PSL,1977-01-28,48,Biskupiec,K,"Uniwersytet Gdański, Wydział Prawa, Prawo - magister (2001) Uniwersytet Warmińsko-Mazurski w Olsztynie, Integracja Europejska (2004) - studia podyplomowe",wyższe,magister,1,prawnik,35,Olsztyn,warmińsko-mazurskie,26992,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
282,Krzysztof Paszyk,PSL,1979-04-10,46,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (2005)",wyższe,magister,0,prawnik,38,Piła,wielkopolskie,27642,poseł na Sejm RP VIII i IX kadencji,3,True,,,
283,Karolina Pawliczak,KO,1976-06-25,49,Godziesze Wielkie,K,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa, Prawo - magister (2000) Uniwersytet Łódzki, Zarządzanie Jednostkami Samorządu Terytorialnego (2001) - studia podyplomowe Uniwersytet Ekonomiczny w Poznaniu, Gospodarka Nieruchomościami (2006) - studia podyplomowe",wyższe,magister,2,prawnik,36,Kalisz,wielkopolskie,21819,poseł na Sejm RP IX kadencji,2,True,,,
284,Bartłomiej Pejo,Konfederacja,1985-04-04,40,Świdnik,M,"Szkoła Główna Służby Pożarniczej, Inżynieria Bezpieczeństwa, Inżynieria Bezpieczeństwa - inżynier (2009) Politechnika Warszawska, Bezpieczeństwo, Higiena Pracy i Ergonomia (2010) - studia podyplomowe Szkoła Główna Służby Pożarniczej, Inżynieria Bezpieczeństwa, Inżynieria Bezpieczeństwa - magister inżynier (2011) Szkoła Główna Handlowa w Warszawie, Menadżer Samorządu Terytorialnego (2018) - studia podyplomowe",wyższe,magister inżynier,2,"inżynier, menedżer",6,Lublin,lubelskie,26037,brak,1,True,,,
285,Ryszard Petru,Polska2050,1972-07-06,53,Wrocław,M,"Szkoła Główna Handlowa w Warszawie, Międzynarodowe Stosunki Gospodarcze, Międzynarodowe Stosunki Gospodarcze - magister (1997)",wyższe,magister,0,doradca finansowy,19,Warszawa,mazowieckie,24192,poseł na Sejm RP VIII kadencji,2,True,,,
286,Małgorzata Pępek,KO,1961-06-10,64,Kocierz Rydzwałdzki,K,"Krakowska Szkoła Wyższa, Wydział Prawa i Administracji, Administracja - magister (2006) Polska Akademia Nauk, Zarządzanie w Polskiej Administracji Publicznej a Wspólna Europejska Przestrzeń Administracyjna (2010) - studia podyplomowe",wyższe,magister,1,ekonomista,27,Bielsko-Biała,śląskie,22184,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
287,Bolesław Piecha,PiS,1954-09-19,71,Rybnik,M,"Śląska Akademia Medyczna, Wydział Lekarski - lekarz (1983) Akademia Ekonomiczna im. K. Adamieckiego w Katowicach, Zarządzanie w Ochronie Zdrowia (2000) - studia podyplomowe",wyższe,lekarz,1,lekarz,30,Bielsko-Biała,śląskie,32427,"poseł na Sejm RP IV, V, VI, VII i IX kadencji, senator VIII kadencji",6,True,,,
288,Grzegorz Piechowiak,PiS,1963-09-14,62,Piła,M,"Akademia Teologii Katolickiej w Warszawie, Wydział Kościelnych Nauk Historycznych i Społecznych, Socjologia Religii - magister (1991) Wyższa Szkoła Zawodowa Kadry dla Europy w Poznaniu, Zarządzanie Przedsiębiorstwem w Kryzysie i Upadłości (2010) - studia podyplomowe",wyższe,magister,1,"nadzorca sądowy, syndyk, zarządca nieruchomości",38,Piła,wielkopolskie,13122,"poseł na Sejm RP III, VIII i IX kadencji",4,True,,,
289,Anna Pieczarka,PiS,1977-02-15,48,Tuchów,K,"Małopolska Wyższa Szkoła Ekonomiczna, Wydział Zarządzania i Turystyki, Zarządzanie - magister (2009) Uniwersytet Ekonomiczny w Krakowie - Krakowska Szkoła Biznesu, MBA (2021) - studia podyplomowe",wyższe,magister,1,"polityk, pracownik administracji samorządowej",15,Tarnów,małopolskie,71199,poseł na Sejm RP IX kadencji,2,True,,,
290,Katarzyna Maria Piekarska,KO,1967-09-23,58,Warszawa,K,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1992) Aplikacja Sędziowska i Radcowska (1995)",wyższe,magister,0,radca prawny,19,Warszawa,mazowieckie,8748,"poseł na Sejm RP II, III, IV, V i IX kadencji",6,True,,,
291,Norbert Pietrykowski,Polska2050,1973-12-17,52,Mława,M,"Akademia Medyczna w Bydgoszczy, Wydział Farmaceutyczny, Analityka Medyczna - magister farmacji (1998) Uniwersytet Mikołaja Kopernika w Toruniu, doktor nauk humanistycznych - doktor (2011)",wyższe,doktor,0,analityk medyczny,4,Bydgoszcz,kujawsko-pomorskie,27596,brak,1,True,,,
292,Lucjan Marek Pietrzczyk,KO,1960-03-24,65,Bilcza,M,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Pedagogiczny, Pedagogika Opiekuńczo-Wychowawcza - magister (1984) Wyższa Szkoła Pedagogiczna w Kielcach, Wychowanie Fizyczne (1986) - studia podyplomowe Instytut Badań Edukacyjnych Ministerstwa Edukacji Narodowej w Warszawie, Zarządzanie Oświatą (2001) - studia podyplomowe Wyższa Szkoła Administracji Publicznej w Kielcach, Samorząd i Administracja (2006) - studia podyplomowe",wyższe,magister,3,nauczyciel,33,Kielce,świętokrzyskie,5826,poseł na Sejm RP VII kadencji,2,True,,,
293,Dariusz Piontkowski,PiS,1964-12-17,61,Sielc,M,"Filia Uniwersytetu Warszawskiego w Białymstoku, Wydział Humanistyczny, Historia - magister (1988) Wyższa Szkoła Finansów i Zarządzania w Białymstoku, Studia Menadżerskie (1996) - studia podyplomowe Uniwersytet w Białymstoku, Zarządzanie Oświatą (2000) - studia podyplomowe Wyższa Szkoła Administracji Publicznej w Białymstoku, Zarządzanie Kadrami w Administracji Publicznej (2001) - studia podyplomowe",wyższe,magister,3,nauczyciel,24,Białystok,podlaskie,22147,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
294,Kazimierz Plocke,KO,1958-05-03,67,Domatowo,M,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomia Rolnictwa - magister inżynier (1982) Akademia Rolniczo-Techniczna w Olsztynie, Ekonomia Rolnictwa - doktor (1988)",wyższe,doktor,0,inżynier rolnik,26,Słupsk,pomorskie,8154,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",7,True,,,
295,Grzegorz Płaczek,Konfederacja,1978-05-13,47,Tarnowskie Góry,M,"Górnośląska Wyższa Szkoła Handlowa, Wydział Zarządzania, Zarządzanie i Marketing - magister (2002)",wyższe,magister,0,"nauczyciel, przedsiębiorca prywatny",31,Katowice,śląskie,18648,brak,1,True,,,
296,Kacper Płażyński,PiS,1989-05-10,36,Gdańsk,M,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2013) Pomorska Izba Adwokacka, Aplikacja Adwokacka (2016)",wyższe,magister,0,adwokat,25,Gdańsk,pomorskie,100445,poseł na Sejm RP IX kadencji,2,True,,,
297,Szymon Pogoda,PiS,1985-09-22,40,Bolesławiec,M,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - licencjat (2010) Wyższa Szkoła Bankowa we Wrocławiu, Wydział Finansów i Zarządzania, Zarządzanie - magister (2018) Wyższa Szkoła Bankowa we Wrocławiu, Controlilng (2019) - studia podyplomowe Wyższa Szkoła Biznesu - National Louis University, Master of Business Administration (2022) - studia podyplomowe",wyższe,magister,2,menedżer,1,Legnica,dolnośląskie,10117,poseł na Sejm RP IX kadencji,2,True,,,
298,Jerzy Polaczek,PiS,1961-08-24,64,Piekary Śląskie,M,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1986)",wyższe,magister,0,prawnik,31,Katowice,śląskie,5996,"poseł na Sejm RP III, IV, V, VI, VII, VIII i IX kadencji",8,True,,,
299,Elżbieta Anna Polak,KO,1959-09-06,66,Przemków,K,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Administracja - magister (1990) Uniwersytet Wrocławski, Zarządzanie Jednostkami Gospodarczymi (1995) - studia podyplomowe",wyższe,magister,1,administratywista,8,Zielona Góra,lubuskie,78475,brak,1,True,,,
300,Piotr Polak,PiS,1961-01-20,64,Grabinka,M,"Akademia Rolnicza w Poznaniu, Wydział Rolny, Mechanizacja Rolnictwa - magister inżynier (1985)",wyższe,magister inżynier,0,inżynier mechanizacji rolnictwa,11,Sieradz,łódzkie,23845,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
301,Agnieszka Pomaska,KO,1980-01-08,46,Gdynia,K,"Uniwersytet Gdański, Wydział Nauk Politycznych, Politologia - magister (2005)",wyższe,magister,0,politolog,25,Gdańsk,pomorskie,83590,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
302,Marcin Porzucek,PiS,1984-07-20,41,Kielce,M,"Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie, Wydział Dyplomacji i Stosunków Międzynarodowych, Politologia - licencjat (2013) Collegium Civitas (Warszawa), Bezpieczeństwo Energetyczne Polski (2014) - studia podyplomowe",wyższe,licencjat,1,politolog,38,Piła,wielkopolskie,28293,poseł na Sejm RP VIII i IX kadencji,3,True,,,
303,Jacek Protas,KO,1964-01-15,61,Lidzbark Warmiński,M,"Akademia Wychowania Fizycznego w Gdańsku, Wydział Trenerski, Koszykówka - magister (1987) Uniwersytet Warmińsko-Mazurski w Olsztynie, Zarządzanie w Administracji Publicznej (2001) - studia podyplomowe Akademia Finansów i Biznesu Vistula w Warszawie, MBA - Dyplomacja (2023) - studia podyplomowe",wyższe,magister,2,"nauczyciel, trener",34,Elbląg,warmińsko-mazurskie,35745,poseł na Sejm RP VIII i IX kadencji,3,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
304,Marcin Przydacz,PiS,1985-06-26,40,Wieluń,M,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2010) Uniwersytet Warszawski, Szkoła Prawa Włoskiego i Europejskiego (2012) - studia podyplomowe Okręgowa Izba Adwokacka w Krakowie, Aplikacja Adwokacka (2014)",wyższe,magister,1,adwokat,11,Sieradz,łódzkie,30423,brak,1,False,Zrzeczenie,Powołany na stanowisko Sekretarza Stanu - Szefa Biura Polityki Międzynarodowej w Kancelarii Prezydenta RP,Objęcie funkcji w administracji centralnej
305,Grzegorz Puda,PiS,1982-07-13,43,Bielsko-Biała,M,"Akademia Rolnicza w Krakowie, Wydział Hodowli i Biologii, Zootechnika - magister inżynier (2006)",wyższe,magister inżynier,0,menedżer marketingu,27,Bielsko-Biała,śląskie,33728,poseł na Sejm RP VIII i IX kadencji,3,True,,,
306,Michał Pyrzyk,PSL,1975-06-07,50,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (1999) Polska Akademia Nauk, Instytut Nauk Prawnych, Studium Europejskiego Prawa Samorządowego, Prawo Europejskie, Stosunki Międzynarodowe i Prawne (2004) - studia podyplomowe",wyższe,magister,1,prawnik,37,Konin,wielkopolskie,10304,brak,1,True,,,
307,Renata Rak,KO,1973-06-29,52,Szczecinek,K,"Uniwersytet Gdański, Wydział Biologii, Geografii i Oceanologii, Biologia - magister (1997)",wyższe,magister,0,nauczyciel,40,Koszalin,zachodniopomorskie,9170,brak,1,True,,,
308,Ireneusz Raś,PSL,1972-09-30,53,Proszowice,M,"Uniwersytet Papieski im. Jana Pawła II w Krakowie, Wydział Historii, Historia - magister (1998)",wyższe,magister,0,urzędnik samorządowy,13,Kraków,małopolskie,27518,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
309,Zbigniew Rau,PiS,1955-02-03,70,Łódź,M,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1977) Wydział Prawa i Administracji Uniwersytetu Łódzkiego, Nauki Prawne (1982) - studia doktoranckie Wydział Prawa i Administracji Uniwersytetu Łódzkiego, Nauki Prawne - doktor habilitowany (1996)",wyższe,doktor habilitowany,0,nauczyciel akademicki,9,Łódź,łódzkie,32387,"poseł na Sejm RP IX kadencji, senator VI kadencji",2,True,,,
310,Marcin Romanowski,PiS,1976-01-20,49,Skrwilno,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2000) Uniwersytet w Ratyzbonie, Magister Legum (LL. M.) (2022) - studia podyplomowe",wyższe,magister,1,"nauczyciel akademicki, prawnik",7,Chełm,lubelskie,17318,brak,1,True,,,
311,Bartosz Romowicz,Polska2050,1988-06-14,37,Lesko,M,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Zamiejscowy Nauk Ekonomicznych i Prawnych, Ekonomia - licencjat (2011) Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Zamiejscowy Nauk Ekonomicznych i Prawnych, Prawo - magister (2013) Uniwersytet Ekonomiczny w Krakowie, Finanse i Rachunkowość (2014) - studia podyplomowe Wyższa Szkoła Biznesu National Louis University w Nowym Sączu, MBA (2021) - studia podyplomowe",wyższe,magister,2,adwokat,22,Krosno,podkarpackie,21527,brak,1,True,,,
312,Monika Rosa,KO,1986-04-24,39,Czeladź,K,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia, Dziennikarstwo i Komunikacja Społeczne - magister (2010)",wyższe,magister,0,politolog,31,Katowice,śląskie,44857,poseł na Sejm RP VIII i IX kadencji,3,True,,,
313,Wiesław Różyński,PSL,1968-06-26,57,Biłgoraj,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2002) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Organizacja Pomocy Społecznej (2005) - studia podyplomowe",wyższe,magister,1,pracownik administracji samorządowej,7,Chełm,lubelskie,17237,brak,1,True,,,
