id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
50,Janusz Cieszyński,PiS,1988-05-06,37,Wrocław,M,"Szkoła Główna Handlowa w Warszawie, Finanse i Rachunkowość - licencjat (2012)",wyższe,licencjat,0,menedżer,35,Olsztyn,warmińsko-mazurskie,20644,brak,1,True,,,
51,Michał Cieślak,PiS,1974-12-09,51,Dąbrowa Tarnowska,M,"Uniwersytet Rolniczy im. H. Kołłątaja w Krakowie, Wydział Rolniczy, Agroekonomia - magister inżynier (2001) Wyższa Warszawska Szkoła Biznesu, MBA (2017) - studia podyplomowe",wyższe,magister inżynier,1,ekonomista,33,Kielce,świętokrzyskie,5629,poseł na Sejm RP VIII i IX kadencji,3,True,,,
52,Żaneta Cwalina-Śliwowska,Polska2050,1978-12-10,47,Ostrołęka,K,"Uniwersytet Zielonogórski, Pedagogika Społeczna - magister (2004) Szkoła Główna Handlowa w Warszawie, Menedżer Kultury - studia podyplomowe",wyższe,magister,1,"pedagog, trener",18,Siedlce,mazowieckie,9747,brak,1,True,,,
53,Krzysztof Czarnecki,PiS,1957-10-25,68,Trzcianka,M,"Technikum Budowlano-Drogowe w Pile, Technik Budowlano-Drogowy - technik (1977)",średnie zawodowe,,0,technik budowlano-drogowy,38,Piła,wielkopolskie,37420,poseł na Sejm RP V i IX kadencji,3,True,,,
54,Witold Wojciech Czarnecki,PiS,1953-04-12,72,Murowana Goślina,M,"Politechnika Poznańska, Wydział Budownictwa Lądowego, Budownictwo Miejskie i Przemysłowe - magister inżynier (1977) Politechnika Poznańska, Wydział Budownictwa Lądowego, Nauki Techniczne - doktor (1987)",wyższe,doktor,0,nauczyciel akademicki,37,Konin,wielkopolskie,17601,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
55,Przemysław Czarnek,PiS,1977-06-11,48,Koło,M,"Katolicki Uniwersytet Lubelski, Wydział Prawa, Prawa Kanonicznego i Administracji, Prawo - magister (2001) Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo Konstytucyjne - doktor (2006) Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo Konstytucyjne - doktor habilitowany (2015)",wyższe,doktor,0,prawnik,6,Lublin,lubelskie,121686,poseł na Sejm RP IX kadencji,2,True,,,
56,Arkadiusz Czartoryski,PiS,1966-04-14,59,Ostrołęka,M,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Humanistyczny, Historia - magister (1991) Akademia Sztuki Wojennej, Bezpieczeństwo Narodowe (2023) - studia podyplomowe",wyższe,magister,1,urzędnik samorządowy,18,Siedlce,mazowieckie,15845,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
57,Włodzimierz Czarzasty,Lewica,1960-05-03,65,Warszawa,M,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Stosunki Międzynarodowe - magister (1988)",wyższe,magister,0,politolog,32,Katowice,śląskie,22332,poseł na Sejm RP IX kadencji,2,True,,,
58,Jacek Czerniak,Lewica,1964-08-30,61,Świdnik,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Nauk Politycznych, Nauki Polityczne - magister (1989) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Zarządzanie i Administracja (2001) - studia podyplomowe",wyższe,magister,1,politolog,6,Lublin,lubelskie,10910,poseł na Sejm RP VII i IX kadencji,3,True,,,
59,Zofia Czernow,KO,1950-09-30,75,Wola Obszańska,K,"Wyższa Szkoła Ekonomiczna we Wrocławiu, Wydział Gospodarki Narodowej, Ekonomika Przemysłu - magister (1974) Polska Akademia Nauk w Warszawie, Europejskie Prawo Bankowe (2000) - studia podyplomowe Akademia Ekonomiczna we Wrocławiu, Wykorzystanie Funduszy z UE (2005) - studia podyplomowe",wyższe,magister,2,ekonomista,1,Legnica,dolnośląskie,30258,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
